college_name,college_code,specialty,category,cutoff_rank,year,counselling_body,degree,round,state,college_type,quota
"Maulana Azad Science, New Delhi",,ORTHODONTICS AND DENTOFACIAL ORTHOPEDICS,OPEN GENERAL,1,2025,MCC,MDS,Round 2,,Government,All India
"Institute of Medical Science, BHU",,ORTHODONTICS AND DENTOFACIAL ORTHOPEDICS,OPEN GENERAL,2,2025,MCC,MDS,Round 2,,Government,All India
"Government Dental College, Kottayam",,ORTHODONTICS AND DENTOFACIAL ORTHOPEDICS,OPEN GENERAL,3,2025,MCC,MDS,Round 2,,Government,All India
"Faculty of Dental Sciences, KGMU",,ORAL AND MAXILLOFACIAL SURGERY,OPEN GENERAL,4,2025,MCC,MDS,Round 2,,Government,All India
"Institute of Medical Science, BHU",,PROSTHODONTICS AND CROWN & BRIDGE,OPEN GENERAL,5,2025,MCC,MDS,Round 2,,Government,All India
"Government Dental College and Hospital, Nagpur",,PROSTHODONTICS AND CROWN & BRIDGE,OPEN GENERAL,8,2025,MCC,MDS,Round 2,,Government,All India
"Institute of Medical Science, BHU",,ORAL AND MAXILLOFACIAL SURGERY,OPEN GENERAL,9,2025,MCC,MDS,Round 2,,Government,All India
"Institute of Medical Science, BHU",,CONSERVATIVE DENTISTRY AND ENDODONTICS,OPEN GENERAL,11,2025,MCC,MDS,Round 2,,Government,All India
"Faculty of Dental Sciences, KGMU",,PROSTHODONTICS AND CROWN & BRIDGE,OPEN GENERAL,12,2025,MCC,MDS,Round 2,,Government,All India
"Faculty of Dental Sciences, KGMU",,ORTHODONTICS AND DENTOFACIAL ORTHOPEDICS,OPEN GENERAL,13,2025,MCC,MDS,Round 2,,Government,All India
"Institute of Medical Science, BHU",,ORAL AND MAXILLOFACIAL SURGERY,OPEN GENERAL,14,2025,MCC,MDS,Round 2,,Government,All India
"Government Dental College, Kottayam",,ORTHODONTICS AND DENTOFACIAL ORTHOPEDICS,OPEN GENERAL,15,2025,MCC,MDS,Round 2,,Government,All India
"Government Dental College, Kottayam",,CONSERVATIVE DENTISTRY AND ENDODONTICS,OPEN GENERAL,16,2025,MCC,MDS,Round 2,Kerala,Government,All India
"Faculty of Dental Sciences, KGMU",,ORTHODONTICS AND DENTOFACIAL ORTHOPEDICS,OPEN GENERAL,17,2025,MCC,MDS,Round 2,,Government,All India
"Faculty of Dental Sciences, KGMU",,ORTHODONTICS AND DENTOFACIAL ORTHOPEDICS,OPEN GENERAL,18,2025,MCC,MDS,Round 2,Uttar Pradesh,Government,All India
"DR. Ziauddin Ahmad Dental College, AMU",,PROSTHODONTICS AND CROWN & BRIDGE,OPEN GENERAL,21,2025,MCC,MDS,Round 2,,Government,All India
"Faculty of Dental Sciences, KGMU",,ORTHODONTICS AND DENTOFACIAL ORTHOPEDICS,OPEN GENERAL,23,2025,MCC,MDS,Round 2,,Government,All India
"Lady Hardinge Medical College, New Delhi",,ORAL AND MAXILLOFACIAL SURGERY,OPEN GENERAL,24,2025,MCC,MDS,Round 2,,Government,All India
"Institute of Medical Science, BHU",,PROSTHODONTICS AND CROWN & BRIDGE,OPEN GENERAL,25,2025,MCC,MDS,Round 2,,Government,All India
"Maulana Azad Science, New Delhi",,ORAL AND MAXILLOFACIAL SURGERY,OPEN GENERAL,26,2025,MCC,MDS,Round 2,,Government,All India
"Government Dental College and Hospital, Nagpur",,ORTHODONTICS AND DENTOFACIAL ORTHOPEDICS,OPEN GENERAL,28,2025,MCC,MDS,Round 2,,Government,All India
"Post Graduate Sciences, Rohtak",,CONSERVATIVE DENTISTRY AND ENDODONTICS,OPEN GENERAL,29,2025,MCC,MDS,Round 2,Haryana,Government,All India
"Government Dental College, Kottayam",,ORAL AND MAXILLOFACIAL SURGERY,OPEN GENERAL,30,2025,MCC,MDS,Round 2,,Government,All India
"Maulana Azad Science, New Delhi",,PROSTHODONTICS AND CROWN & BRIDGE,OPEN GENERAL,33,2025,MCC,MDS,Round 2,,Government,All India
"Institute of Medical Science, BHU",,CONSERVATIVE DENTISTRY AND ENDODONTICS,OPEN GENERAL,34,2025,MCC,MDS,Round 2,Uttar Pradesh,Government,All India
"Government Dental College and Research Institute, Bangalore",,ORTHODONTICS AND DENTOFACIAL ORTHOPEDICS,OPEN GENERAL,35,2025,MCC,MDS,Round 2,,Government,All India
"Faculty of Dental Sciences, KGMU",,PERIODONTOLOGY,OPEN GENERAL,36,2025,MCC,MDS,Round 2,,Government,All India
"Government Dental College and Hospital, Mumbai",,CONSERVATIVE DENTISTRY AND ENDODONTICS,OPEN GENERAL,37,2025,MCC,MDS,Round 2,Maharashtra,Government,All India
"Governemnt Dental College and Hospital, Ahmedabad",,CONSERVATIVE DENTISTRY AND ENDODONTICS,OPEN GENERAL,38,2025,MCC,MDS,Round 2,Gujarat,Government,All India
"S.C.B Dental College and Hospital, Cuttack",,ORAL AND MAXILLOFACIAL SURGERY,OPEN GENERAL,39,2025,MCC,MDS,Round 2,,Government,All India
"Nair Dental College and Hospital, Mumbai",,PROSTHODONTICS AND CROWN & BRIDGE,OPEN GENERAL,40,2025,MCC,MDS,Round 2,,Government,All India
"DR. Ziauddin Ahmad Dental College, AMU",,ORTHODONTICS AND DENTOFACIAL ORTHOPEDICS,OPEN GENERAL,42,2025,MCC,MDS,Round 2,,Government,All India
"Governemnt Dental College and Hospital, Ahmedabad",,PROSTHODONTICS AND CROWN & BRIDGE,OPEN GENERAL,44,2025,MCC,MDS,Round 2,,Government,All India
"Government Dental College, Kozhikode",,CONSERVATIVE DENTISTRY AND ENDODONTICS,OPEN GENERAL,45,2025,MCC,MDS,Round 2,,Government,All India
"Maulana Azad Science, New Delhi",,CONSERVATIVE DENTISTRY AND ENDODONTICS,OPEN GENERAL,46,2025,MCC,MDS,Round 2,,Government,All India
"Governemnt Dental College and Hospital, Ahmedabad",,CONSERVATIVE DENTISTRY AND ENDODONTICS,OPEN GENERAL,47,2025,MCC,MDS,Round 2,,Government,All India
"Government Dental College, Kozhikode",,PROSTHODONTICS AND CROWN & BRIDGE,OPEN GENERAL,48,2025,MCC,MDS,Round 2,,Government,All India
"Government Dental College, Chennai",,ORTHODONTICS AND DENTOFACIAL ORTHOPEDICS,OPEN OBC,49,2025,MCC,MDS,Round 2,Tamil Nadu,Government,All India
"Dr. R. Ahmed Dental College and Hospital, Kolkata",,ORTHODONTICS AND DENTOFACIAL ORTHOPEDICS,OPEN GENERAL,50,2025,MCC,MDS,Round 2,,Government,All India
"DR. Ziauddin Ahmad Dental College, AMU",,ORAL AND MAXILLOFACIAL SURGERY,OPEN GENERAL,51,2025,MCC,MDS,Round 2,,Government,All India
"Faculty of Dental Sciences, KGMU",,PROSTHODONTICS AND CROWN & BRIDGE,OPEN GENERAL,52,2025,MCC,MDS,Round 2,,Government,All India
"Government Dental College and Hospital, Mumbai",,PROSTHODONTICS AND CROWN & BRIDGE,OPEN GENERAL,53,2025,MCC,MDS,Round 2,,Government,All India
"Post Graduate Sciences, Rohtak",,ORAL AND MAXILLOFACIAL SURGERY,OPEN GENERAL,54,2025,MCC,MDS,Round 2,Haryana,Government,All India
"Delhi University Maulana Azad Science, New Delhi",,PROSTHODONTICS AND CROWN & BRIDGE,OPEN GENERAL,55,2025,MCC,MDS,Round 2,,Government,
"Government Dental College, Kozhikode",,CONSERVATIVE DENTISTRY AND ENDODONTICS,OPEN GENERAL,56,2025,MCC,MDS,Round 2,,Government,All India
"DR. Ziauddin Ahmad Dental College, AMU",,CONSERVATIVE DENTISTRY AND ENDODONTICS,OPEN GENERAL,57,2025,MCC,MDS,Round 2,Uttar Pradesh,Government,All India
Government of Dental College and Hospital Jaipur,,ORAL AND MAXILLOFACIAL SURGERY,OPEN GENERAL,58,2025,MCC,MDS,Round 2,,Government,All India
